,Unnamed: 0,iso_code,continent,Country,date,total_cases,new_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Alcoholic Beverages,Animal fats,Animal Products,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population)
10,6378,BHS,North America,Bahamas,2021-05-12,10966.0,58.0,215.0,27885.711,546.729,,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.8140000000000001,2.0175,0.0062,11.4718,0.0009,3.7246,0.625,2.4144,13.2718,5.9269,2.1757,2.9316,0.3218,0.6993,0.0504,0.0884,1.0547,0.1556,6.2151,0.0,0.0495,0.511,7.7649,38.5229,32.1,,2.10076335877863,0.0447837150127227,1.7351145038167899,0.320865139949109,393000.0,%
11,7258,BGD,Asia,Bangladesh,2021-05-12,777397.0,1140.0,12045.0,4720.383,73.138,,164689383.0,1265.036,27.5,5.098,3.262,3523.984000000001,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,0.0031,0.0156,5.1926,0.0,29.8045,0.2957,2.5221,2.8655,0.4191,1.8778,0.0197,0.0633,0.08199999999999999,0.7065,0.3195,5.3378,0.0529,0.9285,0.195,0.0934,0.7615,3.6405,44.8033,3.4,14.7,0.31669110588955796,0.00482306591523417,0.28434358602900894,0.027524453945315,169809000.0,%
12,7680,BRB,North America,Barbados,2021-05-12,3957.0,7.0,46.0,13769.657,160.072,,287371.0,664.4630000000002,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8140000000000001,3.565,0.2212,12.4976,0.0,8.0666,0.7792,3.275,5.8723,5.8477,2.2041,3.302,0.1704,0.8734,0.6391,0.1565,4.0812,0.1721,4.3344,0.0,0.0852,0.8677,5.4725,37.5167,24.8,3.9,0.58397212543554,0.0062717770034843206,0.47003484320557504,0.107665505226481,287000.0,%
13,8120,BLR,Europe,Belarus,2021-05-12,371405.0,896.0,2661.0,39304.941,281.608,,9449321.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,3.7563,0.3353,12.7089,0.0,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,0.5035,0.3795,0.07200000000000001,0.001,0.0067,9.1691,0.1142,4.0155,0.0,0.1399,0.8804,8.7859,37.2904,26.6,<2.5,2.7408959999999998,0.018912,2.612704,0.10928,9375000.0,%
14,8584,BEL,Europe,Belgium,2021-05-12,1023583.0,3251.0,24630.0,88318.975,2125.178,,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,5.372999999999999,0.8559,17.7279,0.001,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,0.0,0.2185,0.0965,0.1132,0.0409,4.4157,0.2461,3.6514,0.0,0.1309,0.564,6.8161,32.2637,24.5,<2.5,6.28632218844985,0.185427702996092,0.0,6.100894485453759,11515000.0,%
15,9000,BLZ,North America,Belize,2021-05-12,12707.0,3.0,323.0,31957.568,812.331,,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,176.957,17.11,,,90.083,1.3,74.62,0.716,3.3803,0.0832,8.6856,0.0,11.07,0.3923,1.0325,12.6094,3.489,3.6317,1.7653,0.0569,0.39399999999999996,1.1259,0.0195,1.0614,0.0849,3.9798,0.0,0.034,1.0198,4.7721,41.3122,22.4,7.5,2.8727923627684997,0.0730310262529833,2.7396181384248197,0.0601431980906921,419000.0,%
16,9423,BEN,Africa,Benin,2021-05-12,7995.0,0.0,101.0,659.4789999999998,8.331,,12123198.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,5.9019,0.0132,3.7504,0.0,9.623,0.0711,1.2267,2.9523,1.4107,0.9458,0.145,0.0829,0.6628,0.7367,0.4461,19.7771,0.0042,0.6635,0.0,0.4028,0.7381,4.1964,46.2493,8.2,10.1,0.0343435170775657,0.000450487345400934,0.0291833893029732,0.00470964042919158,12209000.0,%
17,10397,BOL,South America,Bolivia,2021-05-12,322578.0,2369.0,13308.0,27634.473,1140.064,,11673029.0,10.202,25.4,6.704,4.393,6885.8290000000015,7.1,204.299,6.89,,,25.383000000000006,1.1,71.51,0.718,2.8956,0.0889,11.7799,0.0,12.3079,0.6626,0.2307,7.5088,6.4098,4.2873,0.1661,0.1006,0.1374,0.3654,0.0422,7.7315,0.2083,2.5724,0.0,0.7084,0.3573,3.2224,38.2165,18.7,17.1,1.9524456288145802,0.0924353133327602,1.4386142869423202,0.42139602853950003,11633000.0,%
18,10831,BIH,Europe,Bosnia and Herzegovina,2021-05-12,201796.0,284.0,8943.0,61507.888,2725.847,,3280815.0,68.49600000000001,42.5,16.569000000000006,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,4.7876,0.0585,12.4319,0.0,8.7152,0.2576,0.2465,4.6409,1.8165,9.9443,0.486,0.1089,0.0963,0.2718,0.3922,4.0495,0.3504,1.6391,0.0,0.0822,0.4205,11.6394,37.5645,19.4,<2.5,3.76208473026516,0.145534897896983,2.9603169765315496,0.656232855836635,3281000.0,%
19,11240,BWA,Africa,Botswana,2021-05-12,49041.0,0.0,751.0,20854.09,319.3540000000001,,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,4.2717,0.3402,14.4486,0.0,11.432,0.1402,0.3551,2.8465,2.2840000000000003,11.0217,1.6092,0.3056,0.2019,0.2729,0.1626,4.7614,0.1336,4.7857,0.0009,0.015,1.0065,4.0558,35.5491,16.1,26.4,1.0143720328010402,0.00703495899870522,0.844799309451877,0.162537764350453,2317000.0,%
