,iso_code,continent,country,count_date,total_cases,new_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,animal_products,animal_fats,aquatic_products,cereals_excluding_beer,eggs,seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_and_sweeteners,sugar_crops,treenuts,vegetable_oils,vegetables,vegetal_products,obesity,undernourished,confirmed,deaths,recovered,active,population
54,GMB,Africa,Gambia,2021-05-12,5934.0,0.0,175.0,2455.451,72.414,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,10.1417,0.0114,0.0,21.8908,0.2008,3.9197,0.8742,1.1134,4.8167,0.9824,0.0812,3.1637,0.1281,0.0043,0.8614,0.2719,4.1176,0.0,0.0897,2.2026,2.4575,39.8291,8.7,10.2,0.175299959,0.005544063,0.160777824,0.008978072,2417000
55,GEO,Asia,Georgia,2021-05-12,325665.0,1409.0,4363.0,81637.181,1093.71,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,15.5347,0.2356,0.0,15.6253,0.5032,0.6622,3.1735,2.6217,11.3605,0.7882,0.1507,0.084,0.0025,0.0247,3.7542,0.2397,3.311,0.0,0.1631,0.668,4.0993,34.4636,23.3,7.9,7.042261104,0.087994616,6.805248991,0.149017497,3715000
56,DEU,Europe,Germany,2021-05-12,3564494.0,6590.0,85451.0,42543.879,1019.897,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,20.8485,0.6715,0.0011,6.0363,0.5947,0.6758,3.6131,4.6524,14.1789,0.0,0.0747,0.1701,0.0419,0.0429,3.5712,0.3493,2.507,0.0,0.1903,0.8104,5.0542,29.1443,25.7,2.5,2.74310084,0.073890756,2.451366146,0.217843938,83300000
57,GHA,Africa,Ghana,2021-05-12,93125.0,114.0,783.0,2996.98,25.199,31072945,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,2.8956,0.0088,0.0,6.323,0.0705,1.4992,10.4274,0.8069,0.4178,0.1657,0.0917,0.7957,0.392,0.238,24.6325,0.0053,0.8128,0.2815,0.0364,0.3655,1.6849,47.1041,9.7,5.5,0.225424002,0.001444984,0.204363917,0.0196151,31073000
58,GRC,Europe,Greece,2021-05-12,369554.0,2478.0,11211.0,35455.436,1075.596,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,17.6914,0.2116,0.0005,7.2801,0.4539,1.026,6.3296,3.7836,12.0221,0.0596,0.1947,0.8112,0.2539,0.0243,3.1307,0.256,1.7744,0.0,0.6676,1.5237,7.9134,32.3038,27.4,2.5,1.52535514,0.055616822,0.876299065,0.593439252,10700000
59,GRD,North America,Grenada,2021-05-12,161.0,1.0,1.0,1430.869,8.887,112519,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,12.1319,0.1276,0.0019,7.6569,0.9226,2.5802,11.0608,5.6546,2.7183,1.2873,0.1266,1.3768,0.6417,0.3171,2.2222,0.1104,5.448,0.0,0.0143,0.9959,3.6085,37.8648,20.2,0.0,0.130973451,0.000884956,0.12920354,0.000884956,113000
60,GTM,North America,Guatemala,2021-05-12,237682.0,1416.0,7815.0,13266.786,436.213,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,10.3765,0.0957,0.0,15.1579,1.4676,0.2807,6.7124,3.9589,4.4093,0.0348,0.1632,0.5276,1.6504,0.0403,1.3316,0.2872,5.3058,0.0,0.198,0.8747,5.7997,39.624,18.8,15.2,0.901898594,0.03240341,0.824294254,0.04520093,18066000
61,GIN,Africa,Guinea,2021-05-12,22719.0,0.0,151.0,1729.944,11.498,13132792,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,3.8776,0.0213,0.0,17.2911,0.1648,0.8939,7.9395,1.1561,1.4724,0.2312,0.1692,0.9506,0.3925,0.0,11.7958,0.1196,1.3368,0.0,0.0009,1.3271,4.4286,46.1202,6.6,16.5,0.116759554,0.00066879,0.114012739,0.002078025,12560000
62,GNB,Africa,Guinea-Bissau,2021-05-12,3741.0,0.0,67.0,1900.917,34.045,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,4.9295,0.0423,0.0,21.6069,0.1038,0.1666,6.366,2.2155,2.1899,0.5331,0.2114,0.328,0.2499,0.0013,8.1087,0.0167,0.7893,0.0,0.4485,1.8016,2.3642,45.0666,8.2,28.0,0.143850545,0.00238713,0.125947068,0.015516347,1927000
63,GUY,South America,Guyana,2021-05-12,14659.0,128.0,331.0,18636.873,420.82,786559,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,9.1155,0.0206,0.0,9.7847,0.1038,1.7011,5.7954,2.5237,4.7277,0.3516,0.0385,1.8367,0.3907,0.1942,1.8384,0.0742,3.2325,0.0,0.0435,0.2779,15.2061,40.8722,19.2,8.1,1.008767471,0.022871665,0.884625159,0.101270648,787000
64,HTI,North America,Haiti,2021-05-12,13227.0,48.0,266.0,1160.005,23.328,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,3.5986,0.0402,0.0,13.4196,0.0525,0.5064,12.0278,1.9687,0.8765,0.3309,0.1532,0.4829,2.0067,0.0022,11.48,0.3801,2.0961,0.0,0.0,0.8742,2.0302,46.3997,20.5,49.3,0.103113216,0.002148557,0.080294659,0.020669999,11403000
65,HND,North America,Honduras,2021-05-12,222992.0,874.0,5853.0,22513.965,590.937,9904608,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,13.6048,0.1378,0.0,14.1699,0.4601,0.3339,6.8464,3.508,9.0154,0.6923,0.1505,0.1749,1.3962,0.0138,0.6796,0.4686,5.9591,0.0,0.0276,1.2467,2.6599,36.3883,19.4,12.9,1.560269667,0.037611517,0.626368613,0.896289538,9864000
66,HUN,Europe,Hungary,2021-05-12,793784.0,905.0,28888.0,82169.28,2990.368,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,20.0268,1.0595,0.0007,7.5908,0.8885,0.4113,3.0852,5.2042,12.4568,0.0039,0.0052,0.0679,0.1906,0.1802,3.046,0.1031,2.5433,0.0,0.0183,0.7214,5.6788,29.9644,28.6,2.5,3.840739224,0.133367462,2.845797072,0.86157469,9767000
67,ISL,Europe,Iceland,2021-05-12,6526.0,4.0,29.0,19123.81,84.982,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,23.97,0.9461,0.0025,4.1196,0.5557,4.6117,4.8405,4.6269,13.0028,1.4022,0.2232,0.1759,0.0376,0.0676,1.9909,0.4626,3.9472,0.0,0.0752,0.4667,3.6874,26.0331,23.1,2.5,1.636141304,0.007880435,1.619293478,0.008967391,368000
68,IND,Asia,India,2021-05-12,23703665.0,362727.0,258317.0,17176.514,187.186,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,11.3357,0.0028,0.0,17.3821,0.3061,0.6499,5.4333,0.356,9.9889,0.0,0.0311,0.728,1.5709,0.3268,2.7906,0.0753,1.7471,0.0,0.1526,0.7487,7.5213,38.6568,3.8,14.5,0.77325641,0.011070352,0.751560674,0.010625384,1400100000
69,IDN,Asia,Indonesia,2021-05-12,1728204.0,4608.0,47617.0,6318.299,174.087,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,6.2575,0.0309,0.0009,24.3918,0.4911,3.9386,5.5134,1.0316,0.5943,0.0026,0.1702,2.2113,0.0988,0.1508,4.6343,0.0406,1.8481,0.0,0.0564,0.8579,3.8558,43.7438,6.9,8.3,0.422099883,0.01155263,0.345619878,0.064927375,271739000
70,IRN,Asia,Iran,2021-05-12,2707761.0,16409.0,75934.0,32237.955,904.052,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,7.9295,0.5369,0.002,14.0141,0.4916,0.7813,7.9235,2.3965,3.5808,0.0007,0.1405,0.054,0.4729,0.0559,3.2877,0.1299,2.198,0.0,0.6421,0.7706,12.5207,42.0701,25.5,4.9,1.734248366,0.069414141,1.482322044,0.182512181,84150000
71,IRQ,Asia,Iraq,2021-05-12,1127580.0,4666.0,15855.0,28033.561,394.182,40222503,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,6.2809,0.0423,0.0,24.0855,1.2467,0.445,6.4975,2.5171,1.9902,0.3975,0.0396,0.3037,0.4807,0.0304,1.0842,0.1783,3.3755,0.0,0.1268,2.0139,4.9563,43.7165,27.4,29.0,1.579398364,0.033004405,1.508286973,0.038106986,39725000
72,IRL,Europe,Ireland,2021-05-12,254013.0,446.0,4937.0,51442.587,999.839,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,18.5712,0.871,0.0005,6.3057,0.4653,1.1942,3.3996,4.0102,11.9469,0.2951,0.0831,0.1733,0.1325,0.0362,3.5362,0.1855,4.0147,0.0,0.0836,0.7497,4.951,31.4242,26.9,2.5,4.048530881,0.073435938,0.4669998,3.508095143,5003000
73,ISR,Asia,Israel,2021-05-12,839030.0,30.0,6379.0,96935.593,736.985,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,18.7463,0.1026,0.0017,7.6277,0.5664,1.4696,6.3746,5.5003,10.9066,0.2602,0.2007,0.5233,0.364,0.0278,1.9975,0.2619,1.7747,0.0,0.2262,1.6743,8.8586,31.2472,26.7,2.5,7.439051649,0.055023872,6.609635417,0.774392361,9216000
74,ITA,Europe,Italy,2021-05-12,4131078.0,7848.0,123544.0,68325.39,2043.339,60461828,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,19.0329,0.2834,0.0005,8.5417,0.6247,1.5816,6.0207,4.2963,12.1258,0.0403,0.1194,0.1836,0.2781,0.0064,1.9043,0.2946,1.7175,0.0,0.423,1.4224,6.9463,30.9671,22.9,2.5,4.353685153,0.150927093,3.494528659,0.708229402,60296000
75,JAM,North America,Jamaica,2021-05-12,46922.0,101.0,820.0,15845.812,276.918,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,11.9958,0.2074,0.0074,8.5031,0.1457,1.8692,8.0661,4.3372,5.217,0.6952,0.2111,0.999,0.2177,0.3752,4.5837,0.1677,4.6889,0.0,0.011,0.7584,6.4772,38.0023,24.4,8.0,0.599537202,0.012709149,0.435208259,0.151619794,2809000
76,JPN,Asia,Japan,2021-05-12,660884.0,7521.0,11148.0,5225.352,88.143,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,15.3194,0.0751,0.1088,12.1692,1.696,3.9283,2.8618,4.2599,5.063,0.2962,0.1883,0.7737,0.1287,0.1036,2.2072,0.3731,2.2055,0.228,0.0812,1.3445,7.8669,34.6776,4.4,2.5,0.320820532,0.005059262,0.284769821,0.03099145,125967000
77,JOR,Asia,Jordan,2021-05-12,721853.0,0.0,9151.0,70748.123,896.881,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,9.3186,0.1162,0.0,14.138,0.3344,0.5985,4.6624,3.8651,4.2637,0.3579,0.1397,0.728,0.6393,0.0469,2.1431,0.3742,4.7276,0.0,0.1652,1.9861,10.6308,40.6798,33.4,12.2,3.126275869,0.04091207,2.991759528,0.09360427,10679000
78,KAZ,Asia,Kazakhstan,2021-05-12,404348.0,2456.0,3387.0,21534.553,180.383,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,19.1598,0.3611,0.0,6.5119,0.4584,0.2393,3.2145,3.4501,14.3591,0.2967,0.2914,0.1154,0.0255,0.0106,5.4755,0.1319,1.456,0.0,0.0845,1.1215,10.2055,30.8394,21.3,2.5,1.299402093,0.016650651,1.137764254,0.144987188,18732000
79,KEN,Africa,Kenya,2021-05-12,164386.0,410.0,2950.0,3057.133,54.862,53771300,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,11.4394,0.1175,0.0,15.1221,0.1447,0.4329,4.6941,1.7336,8.7987,0.025,0.211,0.2686,1.751,0.0174,7.5828,0.223,1.8098,0.0,0.0892,0.6689,4.345,38.5589,6.0,29.4,0.18997534,0.00331789,0.157491406,0.029166044,53528000
80,KWT,Asia,Kuwait,2021-05-12,288184.0,985.0,1669.0,67481.501,390.815,4270563,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,10.7213,0.0022,0.0022,11.4132,1.3306,0.8343,5.3058,4.877,3.4788,0.8554,0.1969,0.2783,0.4353,0.202,3.2296,0.2696,2.9163,0.0276,0.1512,1.1976,12.9953,39.275,37.0,2.8,3.624728203,0.020549989,3.434086549,0.170091665,4691000
81,KGZ,Asia,Kyrgyzstan,2021-05-12,99316.0,283.0,1675.0,15222.73,256.737,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,15.4588,0.191,0.0,10.1059,0.2653,0.07,2.2846,1.8707,12.8008,0.2076,0.2604,0.0098,0.3439,0.0197,5.8068,0.0608,3.2495,0.0,0.1449,0.355,11.3219,34.5412,15.4,7.1,1.28892933,0.021580224,1.236609039,0.030740067,6594000
82,LAO,Asia,Laos,2021-05-12,1417.0,55.0,1.0,194.762,0.137,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,3.6579,0.0979,0.0006,16.3943,0.1063,1.4213,8.8158,1.7111,0.1632,0.3404,0.1581,0.3584,0.1485,0.1317,3.4835,0.9869,1.1101,1.9254,0.0028,0.2149,11.641,46.3416,4.5,16.5,0.000621375,0.0,0.000566142,5.52e-05,7242000
83,LVA,Europe,Latvia,2021-05-12,125689.0,729.0,2223.0,66636.023,1178.559,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,18.8216,1.1805,0.0005,6.3952,0.6645,1.3226,2.5738,3.6559,11.8285,0.2596,0.1686,0.1107,0.0032,0.0122,6.5835,0.1963,2.6169,0.0,0.0793,0.699,6.1946,31.1757,25.7,2.5,3.749737119,0.069768665,3.122975815,0.556992639,1902000
84,LBN,Asia,Lebanon,2021-05-12,534388.0,703.0,7549.0,78293.538,1106.009,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,8.0679,0.0796,0.0,11.8253,0.173,0.7091,6.9852,1.9469,5.0748,0.0747,0.0853,0.5052,0.5011,0.0406,3.2676,0.3647,5.1366,0.0,0.5271,1.4807,10.5128,41.9252,31.3,11.0,4.656937729,0.052190476,2.947062271,1.657684982,6825000
85,LSO,Africa,Lesotho,2021-05-12,10774.0,1.0,319.0,5029.287,148.909,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,6.0914,0.0233,0.0,23.4645,0.1204,0.2383,1.8065,2.529,2.7893,0.3898,0.3924,0.0725,1.1603,0.1165,7.1935,0.0363,2.2079,0.0,0.0052,0.6786,3.3721,43.8988,13.5,13.1,0.437908497,0.008543417,0.126330532,0.303034547,2142000
86,LBR,Africa,Liberia,2021-05-12,2114.0,0.0,85.0,417.978,16.806,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,3.7603,0.0264,0.0,16.1465,0.1598,0.7764,5.3606,2.4123,0.1545,0.2997,0.2311,0.4159,0.0977,0.0013,15.3608,0.0132,1.1236,1.1804,0.0779,1.9567,3.1728,46.2383,8.6,37.2,0.038671412,0.001660735,0.034994069,0.002016607,5058000
87,LTU,Europe,Lithuania,2021-05-12,261128.0,1266.0,4059.0,95922.148,1491.024,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,23.049,0.5316,0.0009,6.4732,0.7,1.5431,2.4007,3.7899,16.3529,0.0126,0.1301,0.0867,0.4388,0.0546,2.2766,0.2164,4.502,0.0,0.055,0.4924,4.4045,26.9471,28.4,2.5,6.667072298,0.1047602,4.939620616,1.622691482,2794000
88,LUX,Europe,Luxembourg,2021-05-12,68748.0,196.0,806.0,109825.297,1287.589,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,14.6038,0.5443,0.0051,5.1366,0.7875,1.6249,4.4841,4.0469,7.4929,0.3877,0.1036,0.1658,0.0399,0.0586,2.2067,1.2823,8.1121,0.0,0.0308,0.563,4.8536,35.3838,24.2,2.5,8.150632911,0.09335443,7.661550633,0.395727848,632000
89,MDG,Africa,Madagascar,2021-05-12,39510.0,159.0,738.0,1426.816,26.651,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,4.9125,0.0415,0.0024,19.9604,0.077,0.6267,5.0701,1.4618,2.5031,0.0782,0.2002,0.1848,0.3708,0.0486,14.4675,0.2085,1.0922,0.5852,0.0261,0.3115,1.8871,45.0869,4.5,44.4,0.068849085,0.00101477,0.065779495,0.002054819,27691000
90,MWI,Africa,Malawi,2021-05-12,34183.0,0.0,1153.0,1786.883,60.272,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,2.7754,0.0814,0.0,10.6197,0.0829,0.697,8.4723,1.4923,0.2524,0.0396,0.1695,0.5436,1.1841,0.0139,20.2901,0.0389,0.6412,0.0,0.0161,0.204,3.9786,47.2242,4.7,17.5,0.140486147,0.004375327,0.059320439,0.076790382,19130000
91,MYS,Asia,Malaysia,2021-05-12,453222.0,4765.0,1761.0,14003.029,54.409,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,12.6354,0.0882,0.0204,17.3088,1.6596,5.3482,4.1713,4.9092,0.53,0.1541,0.0789,0.5801,0.2617,0.4502,1.6568,0.1012,3.903,0.0,0.0835,1.6336,6.1678,37.3632,15.3,2.5,0.728229767,0.002614319,0.57036088,0.155254568,32781000
92,MDV,Asia,Maldives,2021-05-12,40092.0,1572.0,87.0,74170.0,160.95,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,14.2704,0.0029,0.0068,11.5385,1.1422,8.7959,6.0777,2.0051,2.3155,3.0315,0.0019,0.2082,0.0808,0.3434,1.6403,0.396,2.979,0.1002,0.7569,0.1819,7.718,35.7208,7.9,10.3,3.078743068,0.009981516,2.690573013,0.37818854,541000
93,MLI,Africa,Mali,2021-05-12,14149.0,16.0,507.0,698.687,25.036,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,10.1637,0.0444,0.0,19.8566,0.0573,0.7543,3.8991,1.9124,7.1206,0.1841,0.2746,0.491,0.7955,0.0638,2.6772,0.0614,0.8811,0.0,0.2374,0.5144,7.2943,39.8262,7.1,6.3,0.040294306,0.001669053,0.02989482,0.008730433,20251000
94,MLT,Europe,Malta,2021-05-12,30469.0,5.0,417.0,69006.362,944.424,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,13.6092,0.2062,0.0017,7.8996,0.6714,1.7922,4.631,4.6096,6.2546,0.0315,0.0747,0.2899,0.2197,0.0331,2.059,0.2101,5.2164,0.0,0.1236,0.486,11.2856,36.3899,31.0,2.5,3.55862069,0.053448276,3.045210728,0.459961686,522000
95,MRT,Africa,Mauritania,2021-05-12,18745.0,54.0,457.0,4031.478,98.287,4649660,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,15.0193,0.1127,0.0,20.4873,0.2539,1.0025,1.2991,3.3994,9.825,0.7519,0.4279,0.0799,1.0999,0.0066,1.0168,0.3677,4.3166,0.0,0.0,1.5716,3.9784,34.9779,11.3,10.4,0.36111828,0.009139785,0.343763441,0.008215054,4650000
96,MUS,Africa,Mauritius,2021-05-12,1266.0,9.0,17.0,995.465,13.367,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,9.27,0.0074,0.0102,17.1855,0.591,2.1303,3.568,4.6992,1.7166,1.0545,0.1173,0.4479,0.856,0.1847,1.8348,0.1625,3.568,0.0,0.0369,2.049,6.7122,40.7175,11.5,6.5,0.046166008,0.000790514,0.042687747,0.002687747,1265000
97,MEX,North America,Mexico,2021-05-12,2371483.0,3090.0,219590.0,18393.177,1703.136,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,15.1527,0.1672,0.0201,11.4325,1.2967,0.9656,7.6794,4.3561,7.9917,0.0275,0.3552,0.1947,0.7071,0.1121,1.1644,0.0248,3.2266,0.0,0.1121,0.6856,5.0713,34.8456,28.4,3.6,1.507199199,0.129731126,1.159804996,0.217663078,127792000
98,MNG,Asia,Mongolia,2021-05-12,47033.0,585.0,193.0,14346.8,58.872,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,25.8904,0.3846,0.0,10.1415,0.3727,0.044,1.0413,8.0929,15.856,0.5962,1.1411,0.0266,0.0366,0.0037,2.6155,0.1401,1.468,0.0,0.0137,0.555,4.3326,24.1046,19.6,13.4,0.06019042,5.95e-05,0.043112169,0.017018744,3361000
99,MNE,Europe,Montenegro,2021-05-12,98546.0,97.0,1548.0,156904.892,2464.725,628062,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,22.8328,0.2067,0.0014,5.0447,0.5542,0.6472,5.7297,3.3604,17.9487,0.847,0.1132,0.0865,0.2113,0.0175,1.1955,0.2605,6.0418,0.0,0.0948,0.4258,5.0001,27.1612,24.9,2.5,10.40819936,0.134405145,9.039871383,1.23392283,622000
100,MAR,Africa,Morocco,2021-05-12,514432.0,268.0,9088.0,13937.259,246.217,36910558,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,8.4754,0.1449,0.0,18.7029,0.4848,1.3901,7.211,2.5074,3.754,0.0079,0.1949,0.1892,0.3306,0.1185,3.4356,0.2042,2.6816,0.0,0.2549,0.8168,7.286,41.5224,25.6,3.4,1.321111482,0.023311638,1.2625751,0.035224744,35952000
101,MOZ,Africa,Mozambique,2021-05-12,70287.0,20.0,826.0,2248.793,26.427,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,4.0111,0.0297,0.0,13.1904,0.1932,1.1353,2.8312,0.9302,1.6385,0.1565,0.0852,0.1258,1.2809,0.004,22.2864,0.105,1.0649,0.0,0.2011,0.7509,2.7738,45.9864,6.0,27.9,0.141538856,0.00144709,0.085959058,0.054132709,31166000
102,MMR,Asia,Myanmar,2021-05-12,142997.0,23.0,3211.0,2628.148,59.015,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,13.5188,0.1751,0.0034,16.7608,0.4613,4.0424,4.0287,4.9753,3.6306,0.3391,0.2298,1.1003,1.2806,0.217,1.4514,0.2298,2.8592,0.0,0.2913,0.6322,7.0725,36.4807,5.7,10.6,0.0,0.0,0.0,0.0,54704000
103,NAM,Africa,Namibia,2021-05-12,50515.0,214.0,702.0,19880.626,276.278,2540916,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,9.6094,0.1134,0.0053,9.9189,0.1196,1.0164,3.1266,2.6844,5.4479,0.7228,0.2207,0.0818,0.7298,0.1266,12.8231,0.0888,3.9848,0.0009,0.0114,0.9531,2.3626,40.38,15.0,27.3,1.371271153,0.014600551,1.312829595,0.043841007,2541000
104,NPL,Asia,Nepal,2021-05-12,422349.0,9238.0,4252.0,14495.376,145.932,29136808,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,5.4355,0.0312,0.0,18.1511,0.1435,0.205,4.7443,0.9817,3.9212,0.0594,0.1536,0.0594,0.9107,0.4195,6.0521,0.0319,0.547,3.0677,0.0978,0.8209,9.277,44.5576,3.8,8.7,0.906140819,0.006784238,0.89282571,0.006530871,29996000
105,NLD,Europe,Netherlands,2021-05-12,1604659.0,6379.0,17664.0,93648.724,1030.88,17134873,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,24.2977,0.3343,0.0111,4.9685,0.747,1.1517,4.923,4.0105,18.0051,0.0,0.0397,0.1111,0.0852,0.064,4.2639,0.2904,2.3446,0.0,0.1587,0.8485,3.2587,25.6959,23.1,2.5,5.815291693,0.08283048,0.076063434,5.656397779,17467000
106,NCL,Oceania,New Caledonia,2021-05-11,,,,,,285491,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,11.7818,0.0821,0.0804,8.584,0.7494,2.0361,5.5855,5.8687,2.7675,3.6589,0.1993,2.2961,0.1275,0.0488,2.5648,0.1745,3.1901,0.0,0.0376,1.3157,5.5941,38.2208,0.0,7.1,0.0,0.0,0.0,0.0,295000
107,NZL,Oceania,New Zealand,2021-05-12,2644.0,1.0,26.0,548.294,5.392,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,17.5777,0.7446,0.017,7.7522,0.7067,1.6771,4.0202,6.8421,7.4627,0.0,0.1275,0.3296,0.2414,0.0495,3.3719,0.2374,3.8188,0.0109,0.1499,0.5364,6.6889,32.4155,32.0,2.5,0.046520954,0.000501303,0.04469621,0.001323441,4987000
108,NIC,North America,Nicaragua,2021-05-12,7086.0,0.0,184.0,1069.657,27.775,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,13.1538,0.0836,0.003,16.8052,0.549,0.6557,3.8377,3.1044,8.5527,0.6658,0.2055,0.3354,1.3618,0.006,1.9118,0.005,5.7021,0.0,0.003,0.9227,3.5808,36.8356,21.8,17.0,0.095497271,0.00257732,0.064053972,0.028865979,6596000
