,iso_code,continent,Country,date,total_cases,new_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
29130,FRA,Europe,France,2021-05-12,5882882,21498,107280,87070.927,1587.822,,67564251,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
29229,PYF,Oceania,French Polynesia,2021-05-11,,,,,,,280904,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,
29654,GAB,Africa,Gabon,2021-05-12,23734,169,143,10663.477,64.249,,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703
30076,GMB,Africa,Gambia,2021-05-12,5934,0,175,2455.451,72.414,,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496
30518,GEO,Asia,Georgia,2021-05-12,325665,1409,4363,81637.181,1093.71,,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812
30990,DEU,Europe,Germany,2021-05-12,3564494,6590,85451,42543.879,1019.897,,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947
31415,GHA,Africa,Ghana,2021-05-12,93125,114,783,2996.98,25.199,,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
31534,GIB,Europe,Gibraltar,2021-05-08,,,,,,,33691,3457.1,,,,,,,,,,,,79.93,
31976,GRC,Europe,Greece,2021-05-12,369554,2478,11211,35455.436,1075.596,,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888
32081,GRL,North America,Greenland,2021-05-11,,,,,,,56772,0.137,,,,,,199.941,2.16,,,,,71.7,
